# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 16:24:30.042486
# Surface: AMARILLO
# Sensor under test: DELANTERO
# Number of points: 8
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,5,36,1,2832,1426,961,311
AMARILLO,DELANTERO,5,37,1,3235,1617,1103,341
AMARILLO,DELANTERO,5,38,1,3160,1583,1076,326
AMARILLO,DELANTERO,5,39,1,3059,1533,1025,322
AMARILLO,DELANTERO,5,40,1,2893,1447,971,316
AMARILLO,DELANTERO,5,41,1,2820,1411,943,299
AMARILLO,DELANTERO,5,42,1,2390,1207,810,248
AMARILLO,DELANTERO,5,43,1,2230,1128,759,232
AMARILLO,DELANTERO,5,44,1,2222,1117,746,239
AMARILLO,DELANTERO,5,45,1,2224,1116,746,239
AMARILLO,DELANTERO,5,46,1,1914,972,649,201
AMARILLO,DELANTERO,5,47,1,2187,1109,744,226
AMARILLO,DELANTERO,5,48,1,2233,1126,748,246
AMARILLO,DELANTERO,5,49,1,2133,1080,712,225
AMARILLO,DELANTERO,5,50,1,1933,980,644,202
AMARILLO,DELANTERO,5,51,1,2223,1122,742,235
AMARILLO,DELANTERO,5,52,1,2127,1078,720,219
AMARILLO,DELANTERO,5,53,1,2246,1138,762,242
AMARILLO,DELANTERO,5,54,1,3427,1711,1170,352
AMARILLO,DELANTERO,5,55,1,4401,2174,1507,449
AMARILLO,DELANTERO,5,56,1,5086,2493,1750,530
AMARILLO,DELANTERO,5,57,1,5308,2591,1828,558
AMARILLO,DELANTERO,5,58,1,5474,2662,1889,582
AMARILLO,DELANTERO,5,59,1,5484,2668,1901,593
AMARILLO,DELANTERO,5,60,1,4776,2348,1654,487
AMARILLO,DELANTERO,6,1,1,98,42,35,23
AMARILLO,DELANTERO,6,2,1,364,188,121,44
AMARILLO,DELANTERO,6,3,1,1505,768,504,158
AMARILLO,DELANTERO,6,4,1,1071,475,369,152
AMARILLO,DELANTERO,6,5,1,3833,1906,1299,400
AMARILLO,DELANTERO,6,6,1,4094,2042,1406,424
AMARILLO,DELANTERO,6,7,1,3426,1714,1170,352
AMARILLO,DELANTERO,6,8,1,4645,2296,1607,468
AMARILLO,DELANTERO,6,9,1,5449,2663,1902,547
AMARILLO,DELANTERO,6,10,1,5320,2609,1854,534
AMARILLO,DELANTERO,6,11,1,5519,2703,1930,556
AMARILLO,DELANTERO,6,12,1,4600,2277,1591,464
AMARILLO,DELANTERO,6,13,1,4075,2032,1400,418
AMARILLO,DELANTERO,6,14,1,4520,2233,1564,454
AMARILLO,DELANTERO,6,15,1,4490,2221,1551,454
AMARILLO,DELANTERO,6,16,1,4566,2257,1576,480
AMARILLO,DELANTERO,6,17,1,4769,2353,1648,494
AMARILLO,DELANTERO,6,18,1,4298,2138,1482,448
AMARILLO,DELANTERO,6,19,1,4155,2073,1426,429
AMARILLO,DELANTERO,6,20,1,4152,2068,1430,424
AMARILLO,DELANTERO,6,21,1,4218,2094,1453,426
AMARILLO,DELANTERO,6,22,1,4436,2193,1530,450
AMARILLO,DELANTERO,6,23,1,4541,2244,1564,467
AMARILLO,DELANTERO,6,24,1,4404,2176,1512,451
AMARILLO,DELANTERO,6,25,1,4359,2158,1500,459
AMARILLO,DELANTERO,6,26,1,4198,2085,1445,441
AMARILLO,DELANTERO,6,27,1,3996,1990,1371,418
AMARILLO,DELANTERO,6,28,1,3525,1765,1214,361
AMARILLO,DELANTERO,6,29,1,2364,1183,791,251
AMARILLO,DELANTERO,6,30,1,3096,1545,1042,337
AMARILLO,DELANTERO,6,31,1,1702,787,608,195
AMARILLO,DELANTERO,6,32,1,1917,978,639,214
AMARILLO,DELANTERO,6,33,1,3261,1630,1105,340
AMARILLO,DELANTERO,6,34,1,3545,1777,1212,364
AMARILLO,DELANTERO,6,35,1,3374,1679,1141,361
AMARILLO,DELANTERO,6,36,1,4111,2040,1415,429
AMARILLO,DELANTERO,6,37,1,3766,1876,1282,389
AMARILLO,DELANTERO,6,38,1,3977,1973,1362,414
AMARILLO,DELANTERO,6,39,1,4056,2016,1392,422
AMARILLO,DELANTERO,6,40,1,3839,1920,1313,396
AMARILLO,DELANTERO,6,41,1,3977,1982,1362,413
AMARILLO,DELANTERO,6,42,1,3811,1895,1324,398
AMARILLO,DELANTERO,6,43,1,4117,2073,1398,420
AMARILLO,DELANTERO,6,44,1,4336,2169,1471,449
AMARILLO,DELANTERO,6,45,1,4388,2197,1491,445
AMARILLO,DELANTERO,6,46,1,4915,2454,1667,498
AMARILLO,DELANTERO,6,47,1,5094,2532,1735,519
AMARILLO,DELANTERO,6,48,1,5369,2670,1848,540
AMARILLO,DELANTERO,6,49,1,5400,2682,1861,541
AMARILLO,DELANTERO,6,50,1,5435,2699,1873,544
AMARILLO,DELANTERO,6,51,1,5454,2708,1880,545
AMARILLO,DELANTERO,6,52,1,5480,2720,1890,548
AMARILLO,DELANTERO,6,53,1,5518,2738,1903,552
AMARILLO,DELANTERO,6,54,1,5531,2744,1908,553
AMARILLO,DELANTERO,6,55,1,5538,2746,1911,554
AMARILLO,DELANTERO,6,56,1,5550,2752,1915,555
AMARILLO,DELANTERO,6,57,1,5561,2757,1919,556
AMARILLO,DELANTERO,6,58,1,5575,2763,1924,558
AMARILLO,DELANTERO,6,59,1,5623,2785,1942,562
AMARILLO,DELANTERO,6,60,1,5644,2795,1950,564
AMARILLO,DELANTERO,7,1,1,44,22,15,9
AMARILLO,DELANTERO,7,2,1,373,162,129,64
AMARILLO,DELANTERO,7,3,1,741,311,257,138
AMARILLO,DELANTERO,7,4,1,773,320,271,141
AMARILLO,DELANTERO,7,5,1,1126,491,390,163
AMARILLO,DELANTERO,7,6,1,3286,1642,1105,344
AMARILLO,DELANTERO,7,7,1,3769,1873,1293,383
AMARILLO,DELANTERO,7,8,1,3864,1932,1318,404
AMARILLO,DELANTERO,7,9,1,3705,1853,1276,395
AMARILLO,DELANTERO,7,10,1,3913,1956,1349,414
AMARILLO,DELANTERO,7,11,1,2950,1451,1042,340
AMARILLO,DELANTERO,7,12,1,4407,2167,1548,471
AMARILLO,DELANTERO,7,13,1,4306,2111,1520,464
AMARILLO,DELANTERO,7,14,1,4334,2120,1533,469
AMARILLO,DELANTERO,7,15,1,4450,2175,1575,479
AMARILLO,DELANTERO,7,16,1,4964,2428,1747,523
AMARILLO,DELANTERO,7,17,1,5111,2498,1795,538
AMARILLO,DELANTERO,7,18,1,4813,2367,1668,506
AMARILLO,DELANTERO,7,19,1,4007,1988,1374,417
AMARILLO,DELANTERO,7,20,1,3587,1791,1227,365
AMARILLO,DELANTERO,7,21,1,3885,1927,1337,403
AMARILLO,DELANTERO,7,22,1,4242,2092,1469,426
AMARILLO,DELANTERO,7,23,1,4271,2104,1474,442
AMARILLO,DELANTERO,7,24,1,4303,2151,1468,434
AMARILLO,DELANTERO,7,25,1,4467,2234,1518,457
AMARILLO,DELANTERO,7,26,1,4997,2480,1713,500
AMARILLO,DELANTERO,7,27,1,4811,2391,1642,484
AMARILLO,DELANTERO,7,28,1,4881,2426,1670,487
AMARILLO,DELANTERO,7,29,1,4676,2330,1598,476
AMARILLO,DELANTERO,7,30,1,4552,2264,1557,468
AMARILLO,DELANTERO,7,31,1,4253,2108,1459,432
AMARILLO,DELANTERO,7,32,1,4098,2017,1415,414
AMARILLO,DELANTERO,7,33,1,4465,2199,1546,459
AMARILLO,DELANTERO,7,34,1,4335,2144,1500,438
AMARILLO,DELANTERO,7,35,1,4527,2234,1573,469
AMARILLO,DELANTERO,7,36,1,4290,2121,1477,443
AMARILLO,DELANTERO,7,37,1,4298,2134,1482,444
AMARILLO,DELANTERO,7,38,1,3949,1966,1361,407
AMARILLO,DELANTERO,7,39,1,3817,1899,1314,389
AMARILLO,DELANTERO,7,40,1,3725,1860,1278,394
AMARILLO,DELANTERO,7,41,1,3381,1690,1156,362
AMARILLO,DELANTERO,7,42,1,2701,1357,919,277
AMARILLO,DELANTERO,7,43,1,2795,1402,949,288
AMARILLO,DELANTERO,7,44,1,2823,1415,962,291
AMARILLO,DELANTERO,7,45,1,2795,1401,953,285
AMARILLO,DELANTERO,7,46,1,2752,1383,937,285
AMARILLO,DELANTERO,7,47,1,3035,1520,1036,313
AMARILLO,DELANTERO,7,48,1,3160,1580,1080,321
AMARILLO,DELANTERO,7,49,1,3413,1707,1164,348
AMARILLO,DELANTERO,7,50,1,3506,1743,1202,358
AMARILLO,DELANTERO,7,51,1,3564,1768,1221,364
AMARILLO,DELANTERO,7,52,1,3630,1800,1249,370
AMARILLO,DELANTERO,7,53,1,3709,1840,1276,379
AMARILLO,DELANTERO,7,54,1,3900,1926,1333,401
AMARILLO,DELANTERO,7,55,1,3905,1930,1344,397
AMARILLO,DELANTERO,7,56,1,4219,2074,1459,431
AMARILLO,DELANTERO,7,57,1,4211,2072,1456,427
AMARILLO,DELANTERO,7,58,1,4228,2088,1461,432
AMARILLO,DELANTERO,7,59,1,3917,1942,1319,407
AMARILLO,DELANTERO,7,60,1,3310,1641,1111,351
AMARILLO,DELANTERO,8,1,1,3844,1806,1300,429
AMARILLO,DELANTERO,8,2,1,3899,1856,1324,435
AMARILLO,DELANTERO,8,3,1,2541,1202,857,285
AMARILLO,DELANTERO,8,4,1,2059,977,692,236
AMARILLO,DELANTERO,8,5,1,2816,1380,942,314
AMARILLO,DELANTERO,8,6,1,3052,1503,1023,337
AMARILLO,DELANTERO,8,7,1,2582,1236,859,295
